timestamp             packet_counter    temperature_C     humidity_percent    pressure_hPa   
---------------------------------------------------------------------------------------------
2026-05-21 15:26:07   15                21.69             60.76               998.37         
2026-05-21 15:26:37   30                21.75             61.40               998.39         
2026-05-21 15:28:06   11                21.70             61.77               998.42         
2026-05-21 15:32:17   15                21.74             60.12               998.38         
2026-05-21 15:32:47   30                21.64             59.98               998.52         
2026-05-21 15:33:17   45                21.66             62.54               998.39         
2026-05-21 15:34:19   21                21.72             60.19               998.40         
2026-05-21 15:34:49   36                21.77             59.87               998.36         
2026-05-21 15:38:12   137               21.67             60.30               998.39         
2026-05-21 15:40:05   3                 21.80             60.30               998.43         
2026-05-21 15:40:35   18                21.78             60.40               998.43         
2026-05-21 15:41:05   33                21.82             60.42               998.40         
2026-05-21 15:51:08   232               27.35             52.10               998.29         
2026-05-21 15:51:38   247               27.60             52.90               998.38         
2026-05-21 15:52:08   262               27.21             45.38               998.32         
2026-05-21 15:52:38   277               25.33             48.07               998.37         
2026-05-21 15:53:08   292               24.19             51.08               998.39         
2026-05-21 15:53:38   307               23.37             53.41               998.49         
2026-05-21 15:54:08   322               22.73             55.25               998.41         
2026-05-21 15:54:38   337               22.26             56.62               998.41         
[2026-05-21 16:01:28] Packet: 3 | Temp: 21.30 C | Humi: 61.92 % | Pres: 998.36 hPa
[2026-05-21 16:04:19] Packet: 39 | Temp: 24.04 C | Humi: 57.39 % | Pres: 998.20 hPa
[2026-05-21 16:04:21] Packet: 40 | Temp: 23.98 C | Humi: 56.36 % | Pres: 998.30 hPa
[2026-05-21 16:04:23] Packet: 41 | Temp: 23.98 C | Humi: 57.00 % | Pres: 998.26 hPa
[2026-05-21 16:04:25] Packet: 42 | Temp: 23.98 C | Humi: 58.21 % | Pres: 998.22 hPa
[2026-05-21 16:04:27] Packet: 43 | Temp: 24.00 C | Humi: 58.12 % | Pres: 998.25 hPa
[2026-05-21 16:04:29] Packet: 44 | Temp: 24.00 C | Humi: 57.16 % | Pres: 998.26 hPa
[2026-05-21 16:04:31] Packet: 45 | Temp: 24.01 C | Humi: 56.74 % | Pres: 998.27 hPa
[2026-05-21 16:04:33] Packet: 46 | Temp: 24.05 C | Humi: 57.12 % | Pres: 998.25 hPa
[2026-05-21 16:04:35] Packet: 47 | Temp: 24.04 C | Humi: 56.60 % | Pres: 998.28 hPa
[2026-05-21 16:04:37] Packet: 48 | Temp: 23.97 C | Humi: 55.82 % | Pres: 998.20 hPa
[2026-05-21 16:04:39] Packet: 49 | Temp: 23.94 C | Humi: 56.44 % | Pres: 998.18 hPa
[2026-05-21 16:04:41] Packet: 50 | Temp: 23.97 C | Humi: 55.49 % | Pres: 998.23 hPa
[2026-05-21 16:04:43] Packet: 51 | Temp: 24.02 C | Humi: 55.49 % | Pres: 998.26 hPa
[2026-05-21 16:04:45] Packet: 52 | Temp: 24.03 C | Humi: 55.65 % | Pres: 998.21 hPa
[2026-05-21 16:04:47] Packet: 53 | Temp: 23.95 C | Humi: 55.41 % | Pres: 998.21 hPa
[2026-05-21 16:04:49] Packet: 54 | Temp: 23.99 C | Humi: 54.63 % | Pres: 998.25 hPa
[2026-05-21 16:04:52] Packet: 55 | Temp: 23.94 C | Humi: 55.92 % | Pres: 998.18 hPa
[2026-05-21 16:04:54] Packet: 56 | Temp: 23.90 C | Humi: 56.44 % | Pres: 998.16 hPa
[2026-05-21 16:04:56] Packet: 57 | Temp: 23.90 C | Humi: 55.89 % | Pres: 998.25 hPa
[2026-05-21 16:04:58] Packet: 58 | Temp: 23.82 C | Humi: 55.99 % | Pres: 998.20 hPa
[2026-05-21 16:05:00] Packet: 59 | Temp: 23.76 C | Humi: 55.95 % | Pres: 998.22 hPa
[2026-05-21 16:05:02] Packet: 60 | Temp: 23.77 C | Humi: 56.21 % | Pres: 998.31 hPa
[2026-05-21 16:05:04] Packet: 61 | Temp: 23.69 C | Humi: 55.98 % | Pres: 998.24 hPa
[2026-05-21 16:05:06] Packet: 62 | Temp: 23.61 C | Humi: 56.39 % | Pres: 998.17 hPa
[2026-05-21 16:05:08] Packet: 63 | Temp: 23.58 C | Humi: 56.58 % | Pres: 998.21 hPa
[2026-05-21 16:05:10] Packet: 64 | Temp: 23.54 C | Humi: 56.07 % | Pres: 998.13 hPa
[2026-05-21 16:05:14] Packet: 1 | Temp: 23.61 C | Humi: 57.18 % | Pres: 998.22 hPa
[2026-05-21 16:05:16] Packet: 2 | Temp: 23.61 C | Humi: 58.20 % | Pres: 998.27 hPa
[2026-05-21 16:05:18] Packet: 3 | Temp: 23.62 C | Humi: 57.21 % | Pres: 998.16 hPa
[2026-05-21 16:05:20] Packet: 4 | Temp: 23.66 C | Humi: 56.64 % | Pres: 998.22 hPa
[2026-05-21 16:05:22] Packet: 5 | Temp: 23.67 C | Humi: 56.31 % | Pres: 998.16 hPa
[2026-05-21 16:05:24] Packet: 6 | Temp: 23.74 C | Humi: 56.50 % | Pres: 998.23 hPa
[2026-05-21 16:05:26] Packet: 7 | Temp: 23.75 C | Humi: 56.84 % | Pres: 998.21 hPa
[2026-05-21 16:05:28] Packet: 8 | Temp: 23.81 C | Humi: 57.04 % | Pres: 998.19 hPa
[2026-05-21 16:05:30] Packet: 9 | Temp: 23.88 C | Humi: 56.99 % | Pres: 998.26 hPa
[2026-05-21 16:05:32] Packet: 10 | Temp: 23.87 C | Humi: 57.04 % | Pres: 998.24 hPa
[2026-05-21 16:05:34] Packet: 11 | Temp: 23.91 C | Humi: 56.09 % | Pres: 998.28 hPa
[2026-05-21 16:05:36] Packet: 12 | Temp: 23.91 C | Humi: 56.08 % | Pres: 998.19 hPa
[2026-05-21 16:05:38] Packet: 13 | Temp: 23.89 C | Humi: 54.96 % | Pres: 998.18 hPa
[2026-05-21 16:05:40] Packet: 14 | Temp: 23.95 C | Humi: 56.08 % | Pres: 998.30 hPa
[2026-05-21 16:05:42] Packet: 15 | Temp: 23.94 C | Humi: 56.17 % | Pres: 998.23 hPa
[2026-05-21 16:05:44] Packet: 16 | Temp: 23.89 C | Humi: 56.16 % | Pres: 998.26 hPa
[2026-05-21 16:05:46] Packet: 17 | Temp: 23.89 C | Humi: 56.04 % | Pres: 998.27 hPa
[2026-05-21 16:05:48] Packet: 18 | Temp: 23.82 C | Humi: 55.98 % | Pres: 998.20 hPa
[2026-05-21 16:05:50] Packet: 19 | Temp: 23.77 C | Humi: 55.99 % | Pres: 998.21 hPa
[2026-05-21 16:05:52] Packet: 20 | Temp: 23.76 C | Humi: 56.11 % | Pres: 998.25 hPa
[2026-05-21 16:05:54] Packet: 21 | Temp: 23.71 C | Humi: 56.11 % | Pres: 998.26 hPa
[2026-05-21 16:05:56] Packet: 22 | Temp: 23.60 C | Humi: 55.44 % | Pres: 998.14 hPa
[2026-05-21 16:05:58] Packet: 23 | Temp: 23.66 C | Humi: 55.32 % | Pres: 998.26 hPa
[2026-05-21 16:06:00] Packet: 24 | Temp: 23.68 C | Humi: 56.33 % | Pres: 998.26 hPa
[2026-05-21 16:06:02] Packet: 25 | Temp: 23.71 C | Humi: 56.87 % | Pres: 998.26 hPa
[2026-05-21 16:06:04] Packet: 26 | Temp: 23.69 C | Humi: 56.33 % | Pres: 998.22 hPa
[2026-05-21 16:06:06] Packet: 27 | Temp: 23.75 C | Humi: 56.20 % | Pres: 998.24 hPa
[2026-05-21 16:06:08] Packet: 28 | Temp: 23.82 C | Humi: 56.31 % | Pres: 998.21 hPa
[2026-05-21 16:06:10] Packet: 29 | Temp: 23.91 C | Humi: 56.36 % | Pres: 998.28 hPa
[2026-05-21 16:06:12] Packet: 30 | Temp: 23.99 C | Humi: 55.90 % | Pres: 998.24 hPa
[2026-05-21 16:06:14] Packet: 31 | Temp: 24.04 C | Humi: 55.40 % | Pres: 998.28 hPa
[2026-05-21 16:06:16] Packet: 32 | Temp: 24.11 C | Humi: 55.54 % | Pres: 998.27 hPa
[2026-05-21 16:06:52] Packet: 1 | Temp: 24.87 C | Humi: 54.03 % | Pres: 998.25 hPa
[2026-05-21 16:06:54] Packet: 2 | Temp: 24.88 C | Humi: 53.34 % | Pres: 998.25 hPa
[2026-05-21 16:06:56] Packet: 3 | Temp: 24.90 C | Humi: 53.24 % | Pres: 998.30 hPa
[2026-05-21 16:06:58] Packet: 4 | Temp: 24.92 C | Humi: 53.09 % | Pres: 998.31 hPa
[2026-05-21 16:07:00] Packet: 5 | Temp: 24.95 C | Humi: 53.11 % | Pres: 998.29 hPa
[2026-05-21 16:07:02] Packet: 6 | Temp: 24.98 C | Humi: 53.46 % | Pres: 998.29 hPa
[2026-05-21 16:07:04] Packet: 7 | Temp: 24.99 C | Humi: 52.83 % | Pres: 998.22 hPa
[2026-05-21 16:07:06] Packet: 8 | Temp: 24.99 C | Humi: 53.30 % | Pres: 998.28 hPa
[2026-05-21 16:07:08] Packet: 9 | Temp: 24.96 C | Humi: 53.48 % | Pres: 998.26 hPa
[2026-05-21 16:07:10] Packet: 10 | Temp: 24.91 C | Humi: 53.67 % | Pres: 998.30 hPa
[2026-05-21 16:07:12] Packet: 11 | Temp: 24.86 C | Humi: 53.57 % | Pres: 998.29 hPa
[2026-05-21 16:07:14] Packet: 12 | Temp: 24.80 C | Humi: 53.58 % | Pres: 998.31 hPa
[2026-05-21 16:07:16] Packet: 13 | Temp: 24.75 C | Humi: 53.61 % | Pres: 998.33 hPa
[2026-05-21 16:07:18] Packet: 14 | Temp: 24.68 C | Humi: 53.20 % | Pres: 998.27 hPa
[2026-05-21 16:07:20] Packet: 15 | Temp: 24.63 C | Humi: 52.88 % | Pres: 998.28 hPa
[2026-05-21 16:07:22] Packet: 16 | Temp: 24.68 C | Humi: 54.18 % | Pres: 998.27 hPa
[2026-05-21 16:07:24] Packet: 17 | Temp: 24.79 C | Humi: 54.50 % | Pres: 998.25 hPa
[2026-05-21 16:07:26] Packet: 18 | Temp: 24.88 C | Humi: 54.28 % | Pres: 998.26 hPa
[2026-05-21 16:07:28] Packet: 19 | Temp: 24.98 C | Humi: 54.03 % | Pres: 998.22 hPa
[2026-05-21 16:07:30] Packet: 20 | Temp: 25.02 C | Humi: 53.42 % | Pres: 998.26 hPa
[2026-05-21 16:07:32] Packet: 21 | Temp: 25.03 C | Humi: 53.51 % | Pres: 998.19 hPa
[2026-05-21 16:07:34] Packet: 22 | Temp: 25.01 C | Humi: 53.04 % | Pres: 998.20 hPa
[2026-05-21 16:07:36] Packet: 23 | Temp: 24.99 C | Humi: 53.28 % | Pres: 998.21 hPa
[2026-05-21 16:07:38] Packet: 24 | Temp: 24.91 C | Humi: 52.92 % | Pres: 998.26 hPa
[2026-05-21 16:07:40] Packet: 25 | Temp: 24.85 C | Humi: 53.04 % | Pres: 998.26 hPa
[2026-05-21 16:07:42] Packet: 26 | Temp: 24.83 C | Humi: 53.04 % | Pres: 998.21 hPa
[2026-05-21 16:07:44] Packet: 27 | Temp: 24.84 C | Humi: 53.02 % | Pres: 998.22 hPa
[2026-05-21 16:07:46] Packet: 28 | Temp: 24.84 C | Humi: 53.53 % | Pres: 998.28 hPa
[2026-05-21 16:07:48] Packet: 29 | Temp: 24.85 C | Humi: 53.36 % | Pres: 998.33 hPa
[2026-05-21 16:08:49] Packet: 1 | Temp: 24.64 C | Humi: 54.04 % | Pres: 998.30 hPa
[2026-05-21 16:08:51] Packet: 2 | Temp: 24.65 C | Humi: 53.87 % | Pres: 998.33 hPa
[2026-05-21 16:08:53] Packet: 3 | Temp: 24.64 C | Humi: 54.19 % | Pres: 998.29 hPa
[2026-05-21 16:08:55] Packet: 4 | Temp: 24.63 C | Humi: 54.46 % | Pres: 998.26 hPa
[2026-05-21 16:08:57] Packet: 5 | Temp: 24.65 C | Humi: 55.35 % | Pres: 998.27 hPa
[2026-05-21 16:08:59] Packet: 6 | Temp: 24.66 C | Humi: 54.52 % | Pres: 998.29 hPa
[2026-05-21 16:09:01] Packet: 7 | Temp: 24.68 C | Humi: 54.47 % | Pres: 998.28 hPa
[2026-05-21 16:09:03] Packet: 8 | Temp: 24.69 C | Humi: 54.70 % | Pres: 998.26 hPa
[2026-05-21 16:09:05] Packet: 9 | Temp: 24.69 C | Humi: 54.65 % | Pres: 998.31 hPa
[2026-05-21 16:09:07] Packet: 10 | Temp: 24.65 C | Humi: 53.72 % | Pres: 998.30 hPa
[2026-05-21 16:09:09] Packet: 11 | Temp: 24.65 C | Humi: 53.48 % | Pres: 998.30 hPa
[2026-05-21 16:09:11] Packet: 12 | Temp: 24.63 C | Humi: 54.23 % | Pres: 998.30 hPa
[2026-05-21 16:09:13] Packet: 13 | Temp: 24.59 C | Humi: 54.14 % | Pres: 998.29 hPa
[2026-05-21 16:09:15] Packet: 14 | Temp: 24.57 C | Humi: 53.92 % | Pres: 998.32 hPa
[2026-05-21 16:09:17] Packet: 15 | Temp: 24.50 C | Humi: 53.42 % | Pres: 998.21 hPa
[2026-05-21 16:09:19] Packet: 16 | Temp: 24.48 C | Humi: 53.22 % | Pres: 998.34 hPa
[2026-05-21 16:09:21] Packet: 17 | Temp: 24.35 C | Humi: 54.05 % | Pres: 998.13 hPa
[2026-05-21 16:09:23] Packet: 18 | Temp: 24.42 C | Humi: 53.24 % | Pres: 998.30 hPa
[2026-05-21 16:09:25] Packet: 19 | Temp: 24.30 C | Humi: 53.61 % | Pres: 998.14 hPa
[2026-05-21 16:09:27] Packet: 20 | Temp: 24.37 C | Humi: 53.80 % | Pres: 998.29 hPa
[2026-05-21 16:09:29] Packet: 21 | Temp: 24.28 C | Humi: 53.82 % | Pres: 998.20 hPa
[2026-05-21 16:09:31] Packet: 22 | Temp: 24.26 C | Humi: 53.78 % | Pres: 998.27 hPa
[2026-05-21 16:09:33] Packet: 23 | Temp: 24.18 C | Humi: 53.64 % | Pres: 998.25 hPa
[2026-05-21 16:09:35] Packet: 24 | Temp: 24.15 C | Humi: 53.59 % | Pres: 998.28 hPa
[2026-05-21 16:09:37] Packet: 25 | Temp: 24.11 C | Humi: 53.99 % | Pres: 998.27 hPa
[2026-05-21 16:09:39] Packet: 26 | Temp: 24.06 C | Humi: 54.17 % | Pres: 998.30 hPa
[2026-05-21 16:09:41] Packet: 27 | Temp: 24.03 C | Humi: 54.33 % | Pres: 998.29 hPa
[2026-05-21 16:09:43] Packet: 28 | Temp: 23.87 C | Humi: 54.22 % | Pres: 998.11 hPa
[2026-05-21 16:09:45] Packet: 29 | Temp: 23.94 C | Humi: 54.20 % | Pres: 998.31 hPa
[2026-05-21 16:09:47] Packet: 30 | Temp: 23.75 C | Humi: 54.30 % | Pres: 998.07 hPa
[2026-05-21 16:09:49] Packet: 31 | Temp: 23.85 C | Humi: 54.19 % | Pres: 998.32 hPa
[2026-05-21 16:09:51] Packet: 32 | Temp: 23.73 C | Humi: 54.21 % | Pres: 998.15 hPa
[2026-05-21 16:09:53] Packet: 33 | Temp: 23.77 C | Humi: 54.37 % | Pres: 998.32 hPa
[2026-05-21 16:09:55] Packet: 34 | Temp: 23.61 C | Humi: 54.86 % | Pres: 998.06 hPa
[2026-05-21 16:09:57] Packet: 35 | Temp: 23.70 C | Humi: 54.98 % | Pres: 998.34 hPa
[2026-05-21 16:09:59] Packet: 36 | Temp: 23.56 C | Humi: 54.95 % | Pres: 998.10 hPa
[2026-05-21 16:10:01] Packet: 37 | Temp: 23.63 C | Humi: 54.94 % | Pres: 998.28 hPa
[2026-05-21 16:10:03] Packet: 38 | Temp: 23.52 C | Humi: 57.79 % | Pres: 998.12 hPa
[2026-05-21 16:10:05] Packet: 39 | Temp: 23.61 C | Humi: 57.83 % | Pres: 998.41 hPa
[2026-05-21 16:10:07] Packet: 40 | Temp: 23.46 C | Humi: 56.95 % | Pres: 998.04 hPa
[2026-05-21 16:10:09] Packet: 41 | Temp: 23.60 C | Humi: 56.61 % | Pres: 998.34 hPa
[2026-05-21 16:10:11] Packet: 42 | Temp: 23.48 C | Humi: 55.97 % | Pres: 998.17 hPa
[2026-05-21 16:10:13] Packet: 43 | Temp: 23.57 C | Humi: 55.93 % | Pres: 998.35 hPa
[2026-05-21 16:10:15] Packet: 44 | Temp: 23.44 C | Humi: 57.06 % | Pres: 998.09 hPa
[2026-05-21 16:10:17] Packet: 45 | Temp: 23.57 C | Humi: 56.97 % | Pres: 998.28 hPa
[2026-05-21 16:10:19] Packet: 46 | Temp: 23.45 C | Humi: 56.25 % | Pres: 998.06 hPa
[2026-05-21 16:10:21] Packet: 47 | Temp: 23.47 C | Humi: 55.69 % | Pres: 998.16 hPa
[2026-05-21 16:10:23] Packet: 48 | Temp: 23.49 C | Humi: 55.35 % | Pres: 998.27 hPa
[2026-05-21 16:10:25] Packet: 49 | Temp: 23.51 C | Humi: 55.34 % | Pres: 998.26 hPa
[2026-05-21 16:10:27] Packet: 50 | Temp: 23.50 C | Humi: 56.22 % | Pres: 998.33 hPa
[2026-05-21 16:10:29] Packet: 51 | Temp: 23.40 C | Humi: 55.39 % | Pres: 998.11 hPa
[2026-05-21 16:10:31] Packet: 52 | Temp: 23.46 C | Humi: 55.70 % | Pres: 998.34 hPa
[2026-05-21 16:10:33] Packet: 53 | Temp: 23.36 C | Humi: 55.54 % | Pres: 998.15 hPa
